player_id,web_name,team,element_type,game_no,total_points,attack_strength,defence_strength,n_total_points,n_minutes,n_goals_scored,n_assists,n_clean_sheets,n_goals_conceded,n_saves,n_bonus,n_bps,n_influence,n_creativity,n_threat,n_ict_index,n_ea_index,n_open_play_crosses,n_big_chances_created,n_clearances_blocks_interceptions,n_recoveries,n_key_passes,n_tackles,n_winning_goals,n_attempted_passes,n_completed_passes,n_penalties_conceded,n_big_chances_missed,n_errors_leading_to_goal,n_errors_leading_to_goal_attempt,n_tackled,n_offside,n_target_missed,n_fouls,n_dribbles,n_attack_strength,n_defence_strength
1,Cech,Arsenal,Goalkeeper,9,0,590,690,15,315,0,0,1,3,9,3,63,77.2,0,0,7.6,0,0,0,5,35,0,1,0,122,77,0,0,0,2,0,0,0,0,0,800,1270
1,Cech,Arsenal,Goalkeeper,8,0,640,760,18,405,0,0,1,4,13,3,80,105,0,0,10.4,0,0,0,5,45,0,1,0,146,97,0,0,0,2,0,0,0,0,0,730,1180
1,Cech,Arsenal,Goalkeeper,7,1,590,840,20,450,0,0,1,7,20,3,100,140.8,0,0,14,0,0,0,5,48,0,1,0,163,115,0,0,0,2,0,0,0,0,0,560,970
1,Cech,Arsenal,Goalkeeper,6,12,780,1100,12,450,0,0,0,9,20,0,88,144.4,0,0,14.4,0,0,0,5,48,0,0,0,172,123,0,0,0,2,0,0,0,0,0,360,720
1,Cech,Arsenal,Goalkeeper,5,14,780,1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Cech,Arsenal,Goalkeeper,4,15,800,1270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Cech,Arsenal,Goalkeeper,3,18,730,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Cech,Arsenal,Goalkeeper,2,20,560,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Cech,Arsenal,Goalkeeper,1,12,360,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Leno,Arsenal,Goalkeeper,34,13,970,1160,26,450,0,0,3,2,14,2,107,118.6,0,0,11.7,0,0,0,2,37,0,0,0,142,90,0,0,0,0,1,0,0,0,0,230,760
2,Leno,Arsenal,Goalkeeper,33,16,860,1090,23,450,0,0,2,3,16,2,99,125.8,0,0,12.5,0,0,0,1,37,0,0,0,145,94,0,0,0,0,1,0,0,0,0,230,790
2,Leno,Arsenal,Goalkeeper,32,16,670,1040,27,450,0,0,3,2,15,2,107,115.8,0,0,11.5,0,0,0,0,36,0,0,0,140,86,0,0,0,0,0,0,0,0,0,330,840
2,Leno,Arsenal,Goalkeeper,31,18,750,1120,24,450,0,0,2,3,19,2,103,138.4,0,0,13.8,0,0,0,0,38,0,0,0,149,93,0,0,0,0,0,0,0,0,0,380,880
